Tenure,MonthlyCharge,Bandwidth_GB_Year,Contacts,Yearly_equip_failure,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_No,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Techie_Yes
66.00877,252.6378,6121.363135,0,0,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False
1.506136,159.9349,460.5286853,1,1,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
51.11345,157.4698,4271.0951,3,0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False
1.760409672,242.657291,871.1409059,1,0,True,False,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False
71.66261,207.6094,6427.653862,2,0,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False
59.71663,147.4738,4970.688189,1,0,False,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True
7.138798,129.9621,1497.624239,1,0,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
8.69085131,255.155493,1420.771651,0,0,False,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False
18.44164,137.4392,1760.029684,1,2,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
62.12094,200.1185,5951.449014,1,1,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False
60.99804,235.1591,5876.124132,1,1,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,True,False
60.16962,139.9816,5626.09355,2,2,False,False,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True
14.1842,142.4526,2066.602785,0,0,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False
10.22422,255.1336,2017.913692,0,1,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,False
2.598489694,124.97808,573.751474,0,0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
9.339307484,144.960655,941.291001,0,0,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
20.21413,152.466,1932.932484,1,1,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False
70.30088,137.4392,6060.997249,1,0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
4.576705489,149.970715,703.2651223,0,0,True,False,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False
62.46678,162.447,6021.120111,0,2,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False
7.677648117,175.133074,1166.469107,0,0,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False
68.01745,112.4551,5727.757032,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
11.69113,149.9378,1722.330381,1,0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
68.75872,112.4551,5695.648337,0,2,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
69.02601,149.9621,6000.793836,0,0,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True
61.2541,242.6106,6191.579895,2,0,False,False,False,False,True,True,False,True,False,False,True,True,True,False,True,False,False
53.54212,137.4698,4974.114415,1,1,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
39.72823,112.4844,3347.326138,2,0,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False
61.04037,207.4811,5695.95181,2,0,False,True,True,False,True,True,True,True,True,False,True,False,False,False,True,False,False
52.61686,194.9882,4745.32751,1,0,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False
20.04140358,129.962093,2256.776479,0,1,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False
1.665089598,129.976324,418.3354904,1,0,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,False
60.72645,187.6094,5849.257593,1,0,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False
5.449246,120.0035,1034.133433,1,0,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False
57.71425,114.9976,5030.841405,1,1,False,False,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False
58.52876,184.967,5045.986552,4,1,True,False,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False
18.29391747,172.47417,1714.188033,3,0,False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False
47.96609,184.9634,5012.14381,0,0,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False
62.77262,114.9976,5334.884836,3,0,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True,False,False
43.80971,164.967,4463.694644,0,1,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False
3.437502,157.4698,419.4107069,2,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
67.31311,107.5286,5646.557605,0,3,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False
10.56737,265.1283,1524.959035,0,0,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False
3.990895779,134.950905,598.4998978,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
66.2177,204.9634,5974.963224,2,1,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,False,False
48.27562,139.9349,4797.290998,0,0,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
2.644504,204.9634,655.8888087,3,0,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False
4.241019424,172.440432,1001.860025,0,1,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
3.761516,242.6281,924.9657013,0,0,False,False,True,False,True,False,False,True,True,False,True,True,True,False,True,False,False
7.232429,207.4754,1575.575608,0,0,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False
15.15905,159.965,1654.594685,2,1,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False
37.8337,197.4702,3903.674979,0,0,True,False,False,False,True,True,True,True,False,True,False,True,True,False,True,False,False
1.763317472,127.460067,746.9528584,1,3,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True
4.380312,232.6228,1046.538825,2,0,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False,False
1.253929,172.4742,322.5237064,0,0,False,True,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False
6.086525665,139.99789,840.1259162,2,0,True,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False
68.1253,117.5015,5636.386434,0,0,True,False,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False
7.097053,124.9643,506.014128,1,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
48.03223,182.4433,4896.176201,1,1,False,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False
66.85047,149.9621,5791.466648,0,0,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False
11.7516,147.4783,1026.949787,0,0,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False
54.47785,129.9621,5171.93181,0,0,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
61.91437,147.4421,5392.876359,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
12.95969924,245.145743,1896.10656,1,0,False,False,True,False,True,False,True,True,True,False,True,True,True,False,False,False,False
61.51143,127.4601,5614.673422,0,0,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False
14.28414317,220.132293,1662.516242,1,0,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True
3.765838,137.4686,494.8412692,0,0,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
68.08474,104.9781,6349.768903,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
1.650984,247.6647,1328.483312,0,1,False,True,False,False,True,True,True,False,True,True,True,True,False,False,True,False,True
56.36817,182.4538,4968.873698,1,1,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False
53.60305,217.4702,4863.296508,3,0,False,False,True,False,True,True,True,True,False,True,False,True,False,False,False,False,False
5.389466,142.4526,1322.429941,1,0,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False
9.112126,139.9979,1068.365286,0,0,False,False,False,True,True,False,False,False,True,True,False,True,True,True,False,False,False
71.61196,119.9568,6676.117614,2,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
63.59872,117.472,5644.627475,2,0,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False
23.49138,200.1323,3174.219068,2,1,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False
56.92191,162.4689,4780.816747,2,0,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False
60.57969,159.983,5228.606985,2,1,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False
55.27092,139.9979,4957.435146,1,0,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,False
8.894523,212.6415,1717.407155,1,0,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False
6.126946607,242.610632,1614.1637,1,1,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,True,False
69.22974,240.1149,6260.19195,2,0,True,False,True,False,True,True,False,False,False,False,True,True,True,False,True,False,False
4.192662,204.9634,700.7755614,0,0,False,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False
3.305552,127.525,702.3872964,1,1,True,False,False,True,True,True,True,False,True,False,False,False,True,False,True,False,True
6.960522,162.4676,1466.444336,2,1,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False
